Journee;Date de fin de la journee;Date de debut de la journee;Equipe a domicile;Equipe a l'exterieur;Buts domicile;Buts exterieur
19;2017-12-20;2017-12-20;Toulouse Football Club;Olympique Lyonnais;1;2
35;2018-04-29;2018-04-27;LOSC;Football Club de Metz;3;1
28;2018-03-04;2018-03-02;Stade Malherbe Caen;Racing Club Strasbourg Alsace;2;0
2;2017-08-13;2017-08-11;Stade Malherbe Caen;AS Saint-etienne;0;1
29;2018-03-11;2018-03-09;Toulouse Football Club;Olympique de Marseille;1;2
28;2018-03-04;2018-03-02;Montpellier Heraut SC;Olympique Lyonnais;1;1
38;2018-05-19;2018-05-19;Olympique de Marseille;Amiens SC;2;1
8;2017-11-20;2017-09-29;Dijon Football Côte d'Or;Racing Club Strasbourg Alsace;1;1
16;2017-12-03;2017-12-01;Racing Club Strasbourg Alsace;Paris SG;2;1
5;2017-09-10;2017-09-08;Montpellier Heraut SC;FC Nantes;0;1
18;2017-12-17;2017-12-15;Dijon Football Côte d'Or;LOSC;3;0
20;2018-01-14;2018-01-12;FC Nantes;Paris SG;0;1
29;2018-03-11;2018-03-09;Stade Rennais Football Club;AS Saint-etienne;1;1
29;2018-03-11;2018-03-09;FC Nantes;Esperance Sportive Troyes Aube Champagne;1;0
36;2018-05-06;2018-05-04;Olympique Lyonnais;Esperance Sportive Troyes Aube Champagne;3;0
2;2017-08-13;2017-08-11;Toulouse Football Club;Montpellier Heraut SC;1;0
4;2017-08-27;2017-08-25;En Avant de Guingamp;Racing Club Strasbourg Alsace;2;0
3;2017-08-20;2017-08-18;Stade Rennais Football Club;Dijon Football Côte d'Or;2;2
7;2017-09-24;2017-09-22;Football Club de Metz;Esperance Sportive Troyes Aube Champagne;0;1
7;2017-09-24;2017-09-22;AS Saint-etienne;Stade Rennais Football Club;2;2
9;2017-10-15;2017-10-13;Racing Club Strasbourg Alsace;Olympique de Marseille;3;3
17;2017-12-10;2017-12-08;Football Club de Metz;Stade Rennais Football Club;1;1
14;2017-11-26;2017-11-24;Olympique de Marseille;En Avant de Guingamp;1;0
10;2017-10-22;2017-10-20;FC Nantes;En Avant de Guingamp;2;1
6;2017-09-17;2017-09-15;En Avant de Guingamp;LOSC;1;0
30;2018-03-18;2018-03-16;Toulouse Football Club;Racing Club Strasbourg Alsace;2;2
19;2017-12-20;2017-12-20;Football Club de Metz;Racing Club Strasbourg Alsace;3;0
20;2018-01-14;2018-01-12;Dijon Football Côte d'Or;Football Club de Metz;1;1
38;2018-05-19;2018-05-19;Football Club de Metz;FC Girondins de Bordeaux;0;4
21;2018-01-17;2018-01-16;Football Club de Metz;AS Saint-etienne;3;0
23;2018-01-28;2018-01-26;AS Saint-etienne;Stade Malherbe Caen;2;1
33;2018-04-25;2018-04-13;FC Nantes;Dijon Football Côte d'Or;1;1
22;2018-01-21;2018-01-19;AS Monaco;Football Club de Metz;3;1
35;2018-04-29;2018-04-27;AS Monaco;Amiens SC;0;0
38;2018-05-19;2018-05-19;Stade Rennais Football Club;Montpellier Heraut SC;1;1
30;2018-03-18;2018-03-16;Montpellier Heraut SC;Dijon Football Côte d'Or;2;2
21;2018-01-17;2018-01-16;FC Girondins de Bordeaux;Stade Malherbe Caen;0;2
37;2018-05-12;2018-05-11;AS Monaco;AS Saint-etienne;1;0
31;2018-04-04;2018-03-14;Paris SG;Angers SCO;2;1
4;2017-08-27;2017-08-25;Amiens SC;OGC Nice;3;0
3;2017-08-20;2017-08-18;Football Club de Metz;AS Monaco;0;1
14;2017-11-26;2017-11-24;Football Club de Metz;Amiens SC;0;2
14;2017-11-26;2017-11-24;Stade Malherbe Caen;FC Girondins de Bordeaux;1;0
